"Date","GOLD","PALL","SILVER","USBOND"
2/19/1998 0:00:00,298.00,233.00,6.69,5.57
3/19/1998 0:00:00,291.50,277.00,5.84,5.65
5/19/1998 0:00:00,299.70,410.00,5.25,5.65
6/19/1998 0:00:00,297.75,300.00,5.29,5.50
8/19/1998 0:00:00,285.50,285.00,5.10,5.34
10/19/1998 0:00:00,298.55,283.00,4.90,4.53
11/19/1998 0:00:00,296.35,303.00,5.01,4.83
1/19/1999 0:00:00,286.50,328.00,5.12,4.72
2/19/1999 0:00:00,286.35,367.00,5.60,5.00
3/19/1999 0:00:00,283.70,357.00,5.03,5.23
4/19/1999 0:00:00,284.20,387.00,5.06,5.18
5/19/1999 0:00:00,272.50,341.00,5.28,5.54
7/19/1999 0:00:00,253.95,341.00,5.05,5.79
8/19/1999 0:00:00,258.00,348.00,5.20,5.94
10/19/1999 0:00:00,309.50,381.00,5.23,6.11
11/19/1999 0:00:00,293.75,395.00,5.13,6.03
1/19/2000 0:00:00,287.65,447.00,5.10,6.66
4/19/2000 0:00:00,281.35,595.00,5.10,5.99
5/19/2000 0:00:00,273.15,580.00,4.98,6.44
6/19/2000 0:00:00,285.90,700.00,5.04,6.10
7/19/2000 0:00:00,279.20,715.00,4.99,6.05
9/19/2000 0:00:00,271.85,728.00,4.84,5.80
10/19/2000 0:00:00,270.30,757.00,4.83,5.74
12/19/2000 0:00:00,269.55,930.00,4.57,5.24
1/19/2001 0:00:00,264.90,1085.00,4.82,5.16
2/19/2001 0:00:00,259.45,990.00,4.49,5.10
3/19/2001 0:00:00,260.55,815.00,4.32,4.89
4/19/2001 0:00:00,263.10,720.00,4.37,5.14
6/19/2001 0:00:00,273.40,615.00,4.43,5.28
7/19/2001 0:00:00,270.30,518.00,4.27,5.24
9/19/2001 0:00:00,288.10,470.00,4.46,4.73
10/19/2001 0:00:00,279.15,325.00,4.24,4.57
11/19/2001 0:00:00,273.60,340.00,4.11,4.65
12/19/2001 0:00:00,278.65,403.00,4.49,5.09
2/19/2002 0:00:00,296.50,378.00,4.51,4.91
3/19/2002 0:00:00,293.10,382.00,4.50,5.28
4/19/2002 0:00:00,301.80,375.00,4.50,5.21
6/19/2002 0:00:00,320.65,340.00,4.89,4.93
7/19/2002 0:00:00,322.90,326.00,5.01,4.65
8/19/2002 0:00:00,310.10,320.00,4.49,4.26
9/19/2002 0:00:00,322.25,334.00,4.64,3.87
11/19/2002 0:00:00,319.70,277.00,4.55,4.05
12/19/2002 0:00:00,345.00,243.00,4.72,4.03
2/19/2003 0:00:00,346.00,255.00,4.57,3.90
3/19/2003 0:00:00,335.80,234.00,4.48,3.81
5/19/2003 0:00:00,359.00,165.00,4.83,3.57
6/19/2003 0:00:00,357.65,176.00,4.52,3.33
8/19/2003 0:00:00,360.40,178.00,4.92,4.45
9/19/2003 0:00:00,379.75,216.00,5.20,4.27
11/19/2003 0:00:00,395.15,197.00,5.32,4.30
12/19/2003 0:00:00,409.75,195.00,5.66,4.27
1/19/2004 0:00:00,406.60,215.00,6.33,4.15
2/19/2004 0:00:00,409.80,241.00,6.61,4.08
3/19/2004 0:00:00,412.00,281.00,7.42,3.83
4/19/2004 0:00:00,403.10,319.00,7.27,4.35
5/19/2004 0:00:00,380.75,244.00,5.72,4.72
7/19/2004 0:00:00,406.35,227.00,6.70,4.50
8/19/2004 0:00:00,406.50,222.00,6.82,4.28
10/19/2004 0:00:00,419.35,216.00,6.96,4.10
11/19/2004 0:00:00,445.60,218.00,7.58,4.19
1/19/2005 0:00:00,424.95,190.00,6.68,4.22
4/19/2005 0:00:00,427.45,201.00,7.05,4.34
5/19/2005 0:00:00,420.80,191.00,7.18,4.14
7/19/2005 0:00:00,419.25,188.00,6.94,4.18
8/19/2005 0:00:00,439.65,185.00,6.99,4.26
9/19/2005 0:00:00,464.50,199.00,7.31,4.20
10/19/2005 0:00:00,465.90,209.00,7.73,4.46
12/19/2005 0:00:00,508.75,264.00,8.61,4.47
1/19/2006 0:00:00,554.75,273.00,8.90,4.42
4/19/2006 0:00:00,624.75,371.00,14.27,4.99
5/19/2006 0:00:00,651.50,347.00,12.43,5.11
6/19/2006 0:00:00,571.00,302.00,9.89,5.11
7/19/2006 0:00:00,641.60,311.00,10.52,5.09
9/19/2006 0:00:00,583.50,319.00,10.91,4.72
10/19/2006 0:00:00,597.25,330.00,11.62,4.73
12/19/2006 0:00:00,620.50,322.00,12.46,4.56
1/19/2007 0:00:00,629.00,341.00,12.72,4.76
2/19/2007 0:00:00,670.75,342.00,14.03,4.72
3/19/2007 0:00:00,655.00,352.00,13.16,4.56
4/19/2007 0:00:00,681.90,377.00,13.83,4.69
6/19/2007 0:00:00,656.30,371.00,13.19,5.10
7/19/2007 0:00:00,674.50,370.00,13.25,5.00
9/19/2007 0:00:00,725.15,335.00,12.99,4.52
10/19/2007 0:00:00,763.00,372.00,13.83,4.53
11/19/2007 0:00:00,778.85,365.00,14.52,4.15
12/19/2007 0:00:00,799.75,356.00,13.98,4.10
2/19/2008 0:00:00,924.00,483.00,17.25,3.74
3/19/2008 0:00:00,958.50,470.00,19.88,3.51
5/19/2008 0:00:00,906.50,454.00,17.18,3.88
6/19/2008 0:00:00,903.00,476.00,17.22,4.10
8/19/2008 0:00:00,788.75,283.00,13.01,3.89
9/19/2008 0:00:00,869.00,235.00,12.15,3.69
11/19/2008 0:00:00,762.00,216.00,9.40,3.53
12/19/2008 0:00:00,835.75,176.00,10.61,2.42
1/19/2009 0:00:00,833.00,188.00,11.16,2.52
2/19/2009 0:00:00,980.50,217.00,14.26,2.87
3/19/2009 0:00:00,956.50,208.00,13.13,2.82
5/19/2009 0:00:00,924.75,232.00,13.88,3.29
6/19/2009 0:00:00,935.25,243.00,14.23,3.72
8/19/2009 0:00:00,943.00,271.00,13.58,3.59
10/19/2009 0:00:00,1050.50,333.00,17.52,3.39
11/19/2009 0:00:00,1135.50,372.00,18.20,3.40
1/19/2010 0:00:00,1133.00,458.00,18.50,3.73
2/19/2010 0:00:00,1112.75,437.00,15.95,3.69
3/19/2010 0:00:00,1105.50,479.00,17.31,3.73
4/19/2010 0:00:00,1136.25,527.00,17.50,3.85
5/19/2010 0:00:00,1195.00,478.00,18.53,3.42
7/19/2010 0:00:00,1181.00,449.00,17.78,3.01
8/19/2010 0:00:00,1233.50,497.00,18.45,2.70
10/19/2010 0:00:00,1339.00,574.00,24.26,2.54
11/19/2010 0:00:00,1342.50,700.00,27.07,2.76
1/19/2011 0:00:00,1372.00,828.00,29.32,3.39
4/19/2011 0:00:00,1490.50,737.00,43.22,3.46
5/19/2011 0:00:00,1493.00,738.00,35.75,3.17
7/19/2011 0:00:00,1601.00,796.00,40.32,3.00
8/19/2011 0:00:00,1848.00,753.00,41.98,2.30
9/19/2011 0:00:00,1794.00,722.00,40.46,1.98
10/19/2011 0:00:00,1652.50,626.00,31.97,2.15
12/19/2011 0:00:00,1598.00,629.00,28.78,1.98
1/19/2012 0:00:00,1655.00,679.00,30.79,1.97
3/19/2012 0:00:00,1661.50,702.00,32.44,2.17
4/19/2012 0:00:00,1650.00,659.00,31.47,2.05
6/19/2012 0:00:00,1625.50,635.00,28.81,1.62
7/19/2012 0:00:00,1584.00,581.00,27.45,1.53
9/19/2012 0:00:00,1766.75,675.00,34.65,1.72
10/19/2012 0:00:00,1737.00,638.00,32.33,1.75
11/19/2012 0:00:00,1730.50,645.00,32.67,1.65
12/19/2012 0:00:00,1665.00,695.00,31.37,1.72
2/19/2013 0:00:00,1607.75,765.00,30.00,1.98
3/19/2013 0:00:00,1610.75,765.00,28.85,1.96
7/19/2013 0:00:00,1295.75,746.00,19.42,2.58
9/19/2013 0:00:00,1365.50,727.00,23.00,2.81
11/19/2013 0:00:00,1275.75,720.00,20.44,2.72
3/19/2014 0:00:00,1338.00,779.00,20.75,2.72
6/19/2014 0:00:00,1293.00,840.00,19.94,2.60
8/19/2014 0:00:00,1296.50,901.00,19.66,2.42
9/19/2014 0:00:00,1219.75,826.00,18.45,2.53
11/19/2014 0:00:00,1196.00,780.00,16.26,2.33
12/19/2014 0:00:00,1195.50,798.00,15.86,2.21
1/19/2015 0:00:00,1273.75,766.00,17.65,1.88
2/19/2015 0:00:00,1209.50,784.00,16.73,1.98
3/19/2015 0:00:00,1166.00,773.00,15.88,2.04
5/19/2015 0:00:00,1214.30,784.00,17.40,2.20
6/19/2015 0:00:00,1203.40,721.00,16.12,2.36
8/19/2015 0:00:00,1126.15,603.00,14.84,2.17
10/19/2015 0:00:00,1175.40,688.00,15.86,2.07
11/19/2015 0:00:00,1082.60,537.00,14.21,2.26
1/19/2016 0:00:00,1086.25,502.00,14.03,2.09
2/19/2016 0:00:00,1231.15,506.00,15.37,1.78
4/19/2016 0:00:00,1255.40,584.00,16.62,1.81
5/19/2016 0:00:00,1246.25,566.00,16.60,1.81
7/19/2016 0:00:00,1330.90,650.00,19.99,1.50
8/19/2016 0:00:00,1346.40,710.00,19.41,1.56
9/19/2016 0:00:00,1314.85,682.00,19.12,1.63
10/19/2016 0:00:00,1269.05,639.00,17.69,1.76
12/19/2016 0:00:00,1136.25,682.00,16.00,2.49
1/19/2017 0:00:00,1196.05,752.00,16.95,2.43
4/19/2017 0:00:00,1279.05,779.00,18.22,2.30
5/19/2017 0:00:00,1252.00,766.00,16.77,2.30
6/19/2017 0:00:00,1248.15,867.00,16.67,2.19
7/19/2017 0:00:00,1242.15,873.00,16.23,2.32
9/19/2017 0:00:00,1309.60,921.00,17.15,2.20
10/19/2017 0:00:00,1286.40,955.00,17.02,2.36
12/19/2017 0:00:00,1260.35,1021.00,16.15,2.40
1/19/2018 0:00:00,1334.95,1112.00,17.04,2.58
2/19/2018 0:00:00,1346.60,1039.00,16.72,2.86
3/19/2018 0:00:00,1312.40,1001.00,16.28,2.84
4/19/2018 0:00:00,1348.60,1034.00,17.19,2.87
6/19/2018 0:00:00,1276.15,983.00,16.35,2.91
7/19/2018 0:00:00,1217.55,889.00,15.26,2.89
9/19/2018 0:00:00,1203.30,1030.00,14.18,3.00
10/19/2018 0:00:00,1227.85,1092.00,14.61,3.15
