"Date","GOLD","PALL","SILVER"
9/29/1993 0:00:00,353.20,125.00,4.06
9/30/1993 0:00:00,355.50,127.00,4.03
10/1/1993 0:00:00,354.00,126.00,4.05
10/4/1993 0:00:00,351.75,126.00,4.08
10/5/1993 0:00:00,353.80,124.00,4.05
10/6/1993 0:00:00,356.25,125.00,4.15
10/7/1993 0:00:00,357.30,127.00,4.33
10/8/1993 0:00:00,358.50,128.00,4.36
10/11/1993 0:00:00,361.40,130.00,4.37
10/12/1993 0:00:00,360.60,131.00,4.28
10/13/1993 0:00:00,366.40,133.00,4.44
10/14/1993 0:00:00,367.25,135.00,4.43
10/15/1993 0:00:00,364.60,133.00,4.33
10/18/1993 0:00:00,365.20,131.00,4.35
10/19/1993 0:00:00,366.40,133.00,4.45
10/20/1993 0:00:00,372.50,135.00,4.49
10/21/1993 0:00:00,374.50,132.00,4.51
10/22/1993 0:00:00,367.90,130.00,4.43
10/25/1993 0:00:00,371.50,131.00,4.43
10/26/1993 0:00:00,368.25,131.00,4.39
10/27/1993 0:00:00,371.50,131.00,4.38
10/28/1993 0:00:00,368.55,130.00,4.42
10/29/1993 0:00:00,369.60,130.00,4.40
11/1/1993 0:00:00,363.25,127.00,4.28
11/2/1993 0:00:00,363.00,129.00,4.21
11/3/1993 0:00:00,363.55,128.00,4.21
11/4/1993 0:00:00,372.00,131.00,4.38
11/5/1993 0:00:00,377.75,132.00,4.47
11/8/1993 0:00:00,375.65,130.00,4.51
11/9/1993 0:00:00,376.00,130.00,4.54
11/10/1993 0:00:00,374.90,130.00,4.53
11/11/1993 0:00:00,376.75,130.00,4.56
11/12/1993 0:00:00,376.75,130.00,4.58
11/15/1993 0:00:00,374.70,130.00,4.51
11/16/1993 0:00:00,375.00,131.00,4.57
11/17/1993 0:00:00,371.80,130.00,4.55
11/18/1993 0:00:00,376.75,130.00,4.61
11/19/1993 0:00:00,377.50,130.00,4.69
11/22/1993 0:00:00,378.40,129.00,4.73
11/23/1993 0:00:00,377.60,127.00,4.68
11/24/1993 0:00:00,376.35,125.00,4.64
11/25/1993 0:00:00,377.60,126.00,4.64
11/26/1993 0:00:00,376.85,126.00,4.67
11/29/1993 0:00:00,371.15,123.00,4.63
11/30/1993 0:00:00,370.90,124.00,4.46
12/1/1993 0:00:00,373.10,122.00,4.42
12/2/1993 0:00:00,374.65,124.00,4.66
12/3/1993 0:00:00,376.75,124.00,4.60
12/6/1993 0:00:00,377.00,125.00,4.84
12/7/1993 0:00:00,376.90,126.00,4.83
12/8/1993 0:00:00,382.30,128.00,4.96
12/9/1993 0:00:00,382.50,127.00,4.97
12/10/1993 0:00:00,382.30,126.00,4.98
12/13/1993 0:00:00,386.25,128.00,5.10
12/14/1993 0:00:00,387.00,128.00,5.13
12/15/1993 0:00:00,385.60,125.00,5.09
12/16/1993 0:00:00,386.10,126.00,5.09
12/17/1993 0:00:00,386.50,125.00,5.01
12/20/1993 0:00:00,389.75,126.00,5.12
12/21/1993 0:00:00,387.50,125.00,5.10
12/22/1993 0:00:00,385.65,124.00,4.99
12/23/1993 0:00:00,384.95,126.00,5.03
12/24/1993 0:00:00,384.95,125.00,5.02
12/29/1993 0:00:00,386.10,123.00,5.09
12/30/1993 0:00:00,391.75,124.00,5.10
12/31/1993 0:00:00,391.75,124.00,5.11
1/4/1994 0:00:00,394.10,125.00,5.27
1/5/1994 0:00:00,395.25,128.00,5.23
1/6/1994 0:00:00,385.65,125.00,5.02
1/7/1994 0:00:00,390.50,126.00,5.11
1/10/1994 0:00:00,383.70,124.00,4.91
1/11/1994 0:00:00,385.45,124.00,5.04
1/12/1994 0:00:00,386.10,124.00,5.10
1/13/1994 0:00:00,388.75,124.00,5.05
1/14/1994 0:00:00,390.10,125.00,5.20
1/17/1994 0:00:00,392.30,126.00,5.34
1/18/1994 0:00:00,392.55,126.00,5.32
1/19/1994 0:00:00,391.70,126.00,5.32
1/20/1994 0:00:00,391.80,125.00,5.32
1/21/1994 0:00:00,386.00,124.00,5.18
1/24/1994 0:00:00,378.80,124.00,5.04
1/25/1994 0:00:00,382.00,124.00,5.13
1/26/1994 0:00:00,383.00,124.00,5.07
1/27/1994 0:00:00,383.60,125.00,5.11
1/28/1994 0:00:00,378.25,124.00,4.97
1/31/1994 0:00:00,377.90,126.00,5.05
2/1/1994 0:00:00,381.65,126.00,5.12
2/2/1994 0:00:00,384.70,127.00,5.28
2/3/1994 0:00:00,385.65,127.00,5.28
2/4/1994 0:00:00,388.50,129.00,5.45
2/7/1994 0:00:00,383.50,129.00,5.30
2/8/1994 0:00:00,380.55,131.00,5.22
2/9/1994 0:00:00,380.75,131.00,5.24
2/10/1994 0:00:00,382.50,134.00,5.29
2/11/1994 0:00:00,381.85,133.00,5.21
2/14/1994 0:00:00,383.25,134.00,5.26
2/15/1994 0:00:00,385.00,136.00,5.32
2/16/1994 0:00:00,383.50,137.00,5.25
2/17/1994 0:00:00,384.50,136.00,5.29
2/18/1994 0:00:00,379.95,134.00,5.23
2/21/1994 0:00:00,380.00,134.00,5.18
2/22/1994 0:00:00,379.40,133.00,5.16
2/23/1994 0:00:00,375.75,133.00,5.18
2/24/1994 0:00:00,376.70,133.00,5.21
2/25/1994 0:00:00,378.95,137.00,5.18
2/28/1994 0:00:00,381.55,137.00,5.24
3/1/1994 0:00:00,381.30,136.00,5.32
3/2/1994 0:00:00,376.95,136.00,5.23
3/3/1994 0:00:00,377.70,130.00,5.26
3/4/1994 0:00:00,375.95,130.00,5.18
3/7/1994 0:00:00,377.50,131.00,5.23
3/8/1994 0:00:00,376.10,131.00,5.18
3/9/1994 0:00:00,375.30,132.00,5.21
3/10/1994 0:00:00,380.50,132.00,5.29
3/11/1994 0:00:00,386.65,135.00,5.44
3/14/1994 0:00:00,386.50,134.00,5.36
3/15/1994 0:00:00,387.10,134.00,5.45
3/16/1994 0:00:00,385.50,134.00,5.42
3/17/1994 0:00:00,383.40,133.00,5.36
3/18/1994 0:00:00,386.55,134.00,5.43
3/21/1994 0:00:00,386.45,134.00,5.40
3/22/1994 0:00:00,389.15,135.00,5.44
3/23/1994 0:00:00,388.25,135.00,5.59
3/24/1994 0:00:00,390.40,135.00,5.74
3/25/1994 0:00:00,391.30,136.00,5.73
3/28/1994 0:00:00,389.25,135.00,5.70
3/29/1994 0:00:00,386.80,135.00,5.62
3/30/1994 0:00:00,387.15,135.00,5.61
3/31/1994 0:00:00,389.20,134.00,5.73
4/5/1994 0:00:00,384.75,135.00,5.64
4/6/1994 0:00:00,383.90,134.00,5.52
4/7/1994 0:00:00,384.30,133.00,5.49
4/8/1994 0:00:00,385.45,134.00,5.46
4/11/1994 0:00:00,381.75,134.00,5.45
4/12/1994 0:00:00,378.00,134.00,5.28
4/13/1994 0:00:00,378.50,133.00,5.33
4/14/1994 0:00:00,377.65,134.00,5.34
4/15/1994 0:00:00,377.00,132.00,5.29
4/18/1994 0:00:00,378.10,133.00,5.24
4/19/1994 0:00:00,373.10,132.00,5.23
4/20/1994 0:00:00,371.35,134.00,5.24
4/21/1994 0:00:00,373.30,135.00,5.26
4/22/1994 0:00:00,369.65,135.00,5.20
4/25/1994 0:00:00,373.00,135.00,5.09
4/26/1994 0:00:00,374.30,137.00,5.12
4/27/1994 0:00:00,374.25,137.00,5.16
4/28/1994 0:00:00,373.35,136.00,5.16
4/29/1994 0:00:00,376.45,138.00,5.28
5/3/1994 0:00:00,375.10,141.00,5.28
5/4/1994 0:00:00,375.15,141.00,5.21
5/5/1994 0:00:00,374.50,138.00,5.11
5/6/1994 0:00:00,373.40,137.00,5.06
5/9/1994 0:00:00,381.00,139.00,5.39
5/10/1994 0:00:00,380.15,137.00,5.39
5/11/1994 0:00:00,380.50,135.00,5.26
5/12/1994 0:00:00,379.25,137.00,5.40
5/13/1994 0:00:00,381.65,138.00,5.42
5/16/1994 0:00:00,379.30,136.00,5.39
5/17/1994 0:00:00,382.55,136.00,5.53
5/18/1994 0:00:00,379.60,136.00,5.44
5/19/1994 0:00:00,383.30,137.00,5.57
5/20/1994 0:00:00,383.15,137.00,5.53
5/23/1994 0:00:00,386.45,137.00,5.71
5/24/1994 0:00:00,388.00,138.00,5.73
5/25/1994 0:00:00,387.30,138.00,5.56
5/26/1994 0:00:00,384.90,135.00,5.51
5/27/1994 0:00:00,385.40,135.00,5.45
5/31/1994 0:00:00,387.60,136.00,5.49
6/1/1994 0:00:00,386.30,137.00,5.54
6/2/1994 0:00:00,383.25,136.00,5.34
6/3/1994 0:00:00,382.95,136.00,5.33
6/6/1994 0:00:00,378.40,135.00,5.27
6/7/1994 0:00:00,380.50,136.00,5.28
6/8/1994 0:00:00,381.45,137.00,5.32
6/9/1994 0:00:00,382.55,137.00,5.35
6/10/1994 0:00:00,383.05,138.00,5.38
6/13/1994 0:00:00,382.60,138.00,5.32
6/14/1994 0:00:00,383.80,139.00,5.41
6/15/1994 0:00:00,384.10,139.00,5.35
6/16/1994 0:00:00,386.85,141.00,5.53
6/17/1994 0:00:00,387.85,141.00,5.47
6/20/1994 0:00:00,389.30,140.00,5.60
6/21/1994 0:00:00,390.30,140.00,5.48
6/22/1994 0:00:00,392.45,140.00,5.54
6/23/1994 0:00:00,389.00,140.00,5.36
6/24/1994 0:00:00,389.90,140.00,5.40
6/27/1994 0:00:00,389.25,140.00,5.39
6/28/1994 0:00:00,386.55,140.00,5.26
6/29/1994 0:00:00,385.50,141.00,5.27
6/30/1994 0:00:00,388.25,143.00,5.25
7/1/1994 0:00:00,384.60,145.00,5.35
7/4/1994 0:00:00,386.60,145.00,5.38
7/5/1994 0:00:00,387.30,145.00,5.40
7/6/1994 0:00:00,385.50,145.00,5.31
7/7/1994 0:00:00,383.00,144.00,5.24
7/8/1994 0:00:00,383.15,145.00,5.23
7/11/1994 0:00:00,385.75,148.00,5.24
7/12/1994 0:00:00,386.30,147.00,5.31
7/13/1994 0:00:00,384.65,147.00,5.21
7/14/1994 0:00:00,384.20,148.00,5.16
7/15/1994 0:00:00,384.90,148.00,5.22
7/18/1994 0:00:00,386.50,149.00,5.25
7/19/1994 0:00:00,384.65,147.00,5.21
7/20/1994 0:00:00,387.45,147.00,5.32
7/21/1994 0:00:00,385.90,147.00,5.26
7/22/1994 0:00:00,384.00,147.00,5.25
7/25/1994 0:00:00,385.00,149.00,5.26
7/26/1994 0:00:00,386.20,153.00,5.32
7/27/1994 0:00:00,388.55,155.00,5.32
7/28/1994 0:00:00,387.10,152.00,5.33
7/29/1994 0:00:00,384.00,150.00,5.29
8/1/1994 0:00:00,383.85,154.00,5.33
8/2/1994 0:00:00,380.00,155.00,5.28
8/3/1994 0:00:00,378.45,156.00,5.21
8/4/1994 0:00:00,377.50,150.00,5.15
8/5/1994 0:00:00,378.30,152.00,5.17
8/8/1994 0:00:00,377.60,151.00,5.11
8/9/1994 0:00:00,378.65,153.00,5.11
8/10/1994 0:00:00,378.30,153.00,5.15
8/11/1994 0:00:00,377.60,153.00,5.11
8/12/1994 0:00:00,378.20,154.00,5.19
8/15/1994 0:00:00,376.60,153.00,5.05
8/16/1994 0:00:00,376.30,153.00,5.07
8/17/1994 0:00:00,377.20,154.00,5.12
8/18/1994 0:00:00,380.65,154.00,5.10
8/19/1994 0:00:00,381.80,156.00,5.17
8/22/1994 0:00:00,382.60,156.00,5.22
8/23/1994 0:00:00,381.35,154.00,5.21
8/24/1994 0:00:00,383.90,154.00,5.21
8/25/1994 0:00:00,383.30,153.00,5.25
8/26/1994 0:00:00,383.30,153.00,5.25
8/30/1994 0:00:00,386.60,154.00,5.38
9/1/1994 0:00:00,386.00,154.00,5.40
9/2/1994 0:00:00,386.70,154.00,5.43
9/5/1994 0:00:00,386.90,155.00,5.40
9/6/1994 0:00:00,387.60,155.00,5.43
9/7/1994 0:00:00,389.70,155.00,5.51
9/8/1994 0:00:00,391.50,154.00,5.51
9/9/1994 0:00:00,390.75,152.00,5.45
9/12/1994 0:00:00,391.10,153.00,5.51
9/13/1994 0:00:00,389.60,149.00,5.45
9/14/1994 0:00:00,390.30,152.00,5.46
9/15/1994 0:00:00,388.00,150.00,5.39
